trafo_id,ŞEBEKE_UNSURU_KODU
7816,YEŞİLKÖY-1 35-26-M00790_6784998_56370476_56370476
7817,K-4283 GÖRECE 35-22-K04283_B_56370479_56370479
7818,L-292 35-18-L00292_B_56370487_56370487
7819,L-292 35-18-L00292_C_56370489_56370489
7820,L-284 İMAMOĞLU TRAFO 35-18-L00284_B_56370491_56370491
7821,L-182 35-18-L00182_8376031_56370496_56370496
7822,L-182 35-18-L00182_11328885_56370497_56370497
7823,L-238 35-18-L00238_12146294_56370503_56370503
7824,L-145 DALYAN DM 35-18-L00145_8634283_56370519_56370519
7825,M-2748 35-01-M02748_E_56370520_56370520
7826,L-472 OLTULU 35-18-L00472_11999856_56370554_56370554
7827,L-295 35-18-L00295_6197188_56370564_56370564
7828,EYKO TR-6 35-30-M00032_A_56370570_56370570
7829,K-3708 35-08-K03708_D_56370578_56370578
7830,K-3708 35-08-K03708_B_56370585_56370585
7831,ZİHNİ ÖNEM SULAMA GRUBU 35-29-M00332_B_56370613_56370613
7832,ÇİLE TR-5 35-22-M00247_B_56370616_56370616
7833,TR-10 ( ALİ ÇOK SULAMA GRUBU ) 35-27-M00010_C_56370645_56370645
7834,TR-10 ( ALİ ÇOK SULAMA GRUBU ) 35-27-M00010_B_56370647_56370647
7835,TR-2 35-27-M00002_A_56370653_56370653
7836,TR-2 35-27-M00002_B_56370654_56370654
7837,TR-63 GERENLİKUYU MEVKİİ 35-15-L00063_A_56370678_56370678
7838,TR-63 GERENLİKUYU MEVKİİ 35-15-L00063_C_56370681_56370681
7839,DARIOVASI TR-2 35-15-L00985_B_56370698_56370698
7840,TR-64 GERENLİKUYU 35-15-L00064_A_56370705_56370705
7841,KONAKLI TR-12 35-15-L00899_48652877_56370714_56370714
7842,KURUCUOVA TR-2 35-15-L00253_C_56370720_56370720
7843,BİRGİ TR-25 (PAŞA ÇEŞMESİ) 35-15-L00278_B_56370728_56370728
7844,BİRGİ TR-25 (PAŞA ÇEŞMESİ) 35-15-L00278_A_56370731_56370731
7845,TR-64 GERENLİKUYU 35-15-L00064_B_56370737_56370737
7846,TR-21 35-31-L00021_47995425_56370767_56370767
7847,TR-21 35-31-L00021_47995426_56370768_56370768
7848,ATAKÖY TR-4 35-22-M00193_C_56370798_56370798
7849,BAŞARAN TR-5 35-31-L00074_47942817_56370820_56370820
7850,L-240 PTT TRAFO 35-18-L00240_6348110_56370833_56370833
7851,L-200 35-18-L00200_7981703_56370844_56370844
7852,L-307 35-18-L00307_10228961_56370850_56370850
7853,K-364 35-04-K00364_E_56370854_56370854
7854,L-279 ERDİL SİTESİ 35-18-L00279_7392422_56370867_56370867
7855,L-295 35-18-L00295_6197188_56370909_56370909
7856,L-144 (ANKARALILAR SİTESİ) 35-18-L00144_10860092_56370914_56370914
7857,K-3169 35-04-K03169_C_56370936_56370936
7858,K-2519 35-02-K02519_B_56370947_56370947
7859,K-2519 35-02-K02519_A_56370949_56370949
7860,ÇAMBEL TR1 35-27-M00477_C_56371005_56371005
7861,ÇOBANLAR SUBATAN TR-1 35-15-L00358_A_56371010_56371010
7862,TR-76 FETHİ KUŞÇU GRB. 35-15-M00076_C_56371023_56371023
7863,TR-76 FETHİ KUŞÇU GRB. 35-15-M00076_A_56371024_56371024
7864,TR-31 35-15-M00031_48860915_56371030_56371030
7865,TR-80 TAHSİN KUYUCU GRB. 35-15-M00080_A_56371033_56371033
7866,YAĞLAR YAYLA TR-3 35-31-L00040_48580922_56371037_56371037
7867,YILANLI TR-1 35-31-L00171_D_56371039_56371039
7868,SUBATAN TR-3 35-15-L00337_B_56371061_56371061
7869,GERELİ TR-2 35-15-L00670_C_56371062_56371062
7870,TR-88 35-15-M00088_48853414_56371070_56371070
7871,GERÇEKLİ TR-2 35-15-L00649_A_56371072_56371072
7872,KONAKLI TR-4 35-15-L00901_A_56371077_56371077
7873,ÇOBANLAR SUBATAN TR-1 35-15-L00358_B_56371078_56371078
7874,BOZCAYAKA TR-1 35-15-L00919_A_56371088_56371088
7875,TR-149 35-16-L00149_B_56371095_56371095
7876,TR-149 35-16-L00149_A_56371097_56371097
7877,BAŞARAN TR-4 35-31-L00073_47942825_56371101_56371101
7878,BAŞARAN TR-4 35-31-L00073_47942826_56371102_56371102
7879,TR-45 DEREKÖY 35-22-M00065_C_56371127_56371127
7880,TR-45 DEREKÖY 35-22-M00065_B_56371129_56371129
7881,ÇAYLI TR-10 35-15-L00203_D_56371157_56371157
7882,ÇAYLI TR-10 35-15-L00203_A_56371159_56371159
7883,GÜLBAHÇE TR-17 (TR-279) 35-19-L00279_D_56371161_56371161
7884,GÜLBAHÇE TR-2 (TR-183) 35-19-L00183_7043399_56371167_56371167
7885,AĞAÇ İŞLERİ TR-8 35-22-M00144_A_56371195_56371195
7886,K-4406 35-04-K04406_A_56371207_56371207
7887,K-4406 35-04-K04406_B_56371208_56371208
7888,K-3547 35-03-K03547_A_56371211_56371211
7889,K-3211 35-04-K03211_D_56371220_56371220
7890,K-3211 35-04-K03211_C_56371224_56371224
7891,K-4418 35-04-K04418_A_56371257_56371257
7892,K-405 35-02-K00405_C_56371268_56371268
7893,H. İBRAHİM ÖZIŞIK SULAMA GRUBU 35-27-M00543_B_56371277_56371277
7894,TR-40 35-27-M00040_A_56371302_56371302
7895,TR-40 35-27-M00040_B_56371303_56371303
7896,TR-40 35-27-M00040_C_56371307_56371307
7897,ŞAKİR BULDAN SULAMA GRUBU TR 35-27-M00198_D_56371312_56371312
7898,NİHAT  ÖZKAN VE ARK. T-SULAMA GRB. 35-13-L00106_A_56371325_56371325
7899,K-1483 35-04-K01483_B_56371330_56371330
7900,TR-38 35-27-M00038_A_56371339_56371339
7901,TEOMAN AVCIOĞLU SLM GRB TR 35-27-M00549_C_56371343_56371343
7902,KARADOĞAN BENZİNLİK YANI TR-2 35-15-L00143_A_56371374_56371374
7903,TR-32 MEZBAHA YANI 35-15-M00032_48860276_56371389_56371389
7904,BADEMLİ TR-15 35-15-L01031_B_56371403_56371403
7905,BADEMLİ TR-15 35-15-L01031_C_56371404_56371404
7906,POYRACIK TR-4 35-24-L00027_5702841_56371414_56371414
7907,GÜMÜLDÜR M-8 35-25-M00008_C_56371417_56371417
7908,ARTICAK TR-1 35-15-L00344_B_56371418_56371418
7909,TR-122 35-15-M00122_48853465_56371429_56371429
7910,BAŞARAN TR-6 35-31-L00075_47942024_56371431_56371431
7911,BAŞARAN TR-6 35-31-L00075_47942023_56371432_56371432
7912,GÜLBAHÇE TR-278 35-19-L00278_A_56371447_56371447
7913,GÜLBAHÇE TR-14 35-19-L00246_6496699_56371448_56371448
7914,AKÇAALAN YEDİEVLER TR-3 35-22-M00223_C_56371477_56371477
7915,DELEMENLER MAHMUTLAR TR-1 45-73-M00796_A_56371483_56371483
7916,L-440 35-18-L00440_10108938_56371519_56371519
7917,K-2301 35-04-K02301_A_56371536_56371536
7918,K-1424 35-04-K01424_B_56371538_56371538
7919,K-1424 35-04-K01424_C_56371539_56371539
7920,K-1424 35-04-K01424_D_56371541_56371541
7921,K-1409 35-04-K01409_A_56371547_56371547
7922,K-1982 35-02-K01982_A_56371575_56371575
7923,K-1233 35-04-K01233_A_56371578_56371578
7924,MEHMET KARADEMİR VE ARK. T-SULAMA GRB. 35-13-L00101_A_56371606_56371606
7925,M-256 35-09-M00256_C_56371612_56371612
7926,TR-71 SEDAT IRMAK GRB. 35-15-M00071_48857817_56371703_56371703
7927,KEMER KÖYÜ TR-1 35-15-L00274_A_56371706_56371706
7928,ATATÜRK MAH TR-3 35-27-L00108_A_56371714_56371714
7929,ÇUKURALTI M-18 35-25-M00066_A_56371745_56371745
7930,TR-59 KAVUKÇU MEVKİİ 35-15-L00059_A_56371752_56371752
7931,GÜMÜLDÜR M-2 35-25-M00002_B_56371773_56371773
7932,TR-78 HULUSİ İZLEYEN GRB. 35-15-M00078_B_56371781_56371781
7933,KUYUCAK TR-2 35-27-M00864_B_56371787_56371787
7934,L-97 35-18-L00097_C_56371789_56371789
7935,AKÇAALAN YEDİEVLER TR-1 35-22-M00221_C_56371793_56371793
7936,TR-27 35-19-L00027_A_56371794_56371794
7937,DELİÇOBAN ÜZÜMLÜ TARIMSAL SULAMA 45-75-M00158_D_56371799_56371799
7938,L-455 35-18-L00455_12292686_56371806_56371806
7939,TR-26 35-19-L00026_8244776_56371812_56371812
7940,L-140 35-18-L00140_C_56371836_56371836
7941,L-287 SCOTCH PARK 35-18-L00287_8989607_56371860_56371860
7942,L-287 SCOTCH PARK 35-18-L00287_11330279_56371861_56371861
7943,L-444 35-18-L00444_11004432_56371863_56371863
7944,L-12 DİNÇ OTEL 35-18-L00012_8871450_56371864_56371864
7945,L-274 35-18-L00274_5719475_56371872_56371872
7946,K-2304 35-04-K02304_A_56371881_56371881
7947,K-345 35-02-K00345_B_56371893_56371893
7948,K-2301 35-04-K02301_D_56371959_56371959
7949,K-886 35-04-K00886_A_56371962_56371962
7950,K-891 35-02-K00891_G_56371984_56371984
7951,K-2380 35-08-K02380_B_56372000_56372000
7952,M-1608 35-09-M01608_A_56372017_56372017
7953,M-1608 35-09-M01608_B_56372018_56372018
7954,K-3551 35-03-K03551_D_56372022_56372022
7955,K-3523 35-02-K03523_D_56372033_56372033
7956,K-3558 35-02-K03558_C_56372035_56372035
7957,GÜMÜLDÜR M-36 35-25-M00036_A_56372043_56372043
7958,TR-156 35-15-L00156_B_56372048_56372048
7959,TR-57 HALİL KÖŞKTEPE YANI 35-15-L00057_B_56372050_56372050
7960,OCAKLI TR-1 35-15-L00770_48853068_56372051_56372051
7961,OVAKENT TR-1 35-15-L00631_48656018_56372066_56372066
7962,EROL ERBİL SULAMA TR-5 35-15-L00863_A_56372083_56372083
7963,HACIHASAN KÖYÜ TR-2 35-15-L00272_B_56372088_56372088
7964,EMİRLİ TR-8 35-15-L00644_C_56372113_56372113
7965,TR-140 ŞHT.ALİ DERELİ MEVKİİ 35-15-L00140_B_56372115_56372115
7966,OCAKLI TR-3 35-15-L00769_48853361_56372116_56372116
7967,TR-156 35-15-L00156_A_56372118_56372118
7968,GÜLBAHÇE TR-17 (TR-279) 35-19-L00279_A_56372129_56372129
7969,K-1762 35-01-K01762_A_56372131_56372131
7970,TR-113 ZEYTİNALANI 35-19-L00113_A_56372148_56372148
7971,TR-294 NÜKET CİHANER 35-19-M00475_8244860_56372155_56372155
7972,L-196 (AYAYORGİ-1) 35-18-L00196_8504541_56372163_56372163
7973,L-308 35-18-L00308_5716052_56372182_56372182
7974,L-308 35-18-L00308_7107592_56372184_56372184
7975,L-455 35-18-L00455_7044029_56372189_56372189
7976,L-455 35-18-L00455_6196901_56372190_56372190
7977,L-455 35-18-L00455_8634223_56372191_56372191
7978,L-95 35-18-L00095_6497245_56372203_56372203
7979,K-3649 35-02-K03649_B_56372254_56372254
7980,L-428 35-18-L00428_10109883_56372297_56372297
7981,K-3563 35-02-K03563_E_56372314_56372314
7982,YURDAKUL ALKAN SULAMA GRUBU TR 35-27-M00260_B_56372327_56372327
7983,YURDAKUL ALKAN SULAMA GRUBU TR 35-27-M00260_C_56372331_56372331
7984,YURDAKUL ALKAN SULAMA GRUBU TR 35-27-M00260_A_56372332_56372332
7985,M-1745 35-02-M01745_A_56372337_56372337
7986,K-3183 35-02-K03183_A_56372358_56372358
7987,ÖRNEKKÖY TR4 35-27-L00129_B_56372362_56372362
7988,ÖRNEKKÖY TR4 35-27-L00129_A_56372366_56372366
7989,ALANLAR TR-1 35-24-M00065_A_56372396_56372396
7990,YOLÜSTÜ TR-5 (ÜÇ DUTLAR MEVKİİ) 35-15-M00219_C_56372405_56372405
7991,TR-71 SEDAT IRMAK GRB. 35-15-M00071_48857819_56372415_56372415
7992,POYRACIK TR-4 35-24-L00027_D_56372423_56372423
7993,POYRACIK TR-4 35-24-L00027_C_56372424_56372424
7994,EROL ERBİL SULAMA TR-5 35-15-L00863_E_56372447_56372447
7995,TR-155 35-15-L00155_A_56372459_56372459
7996,L-332 SERKANKENT 35-18-L00332_9103482_56372463_56372463
7997,KARADOĞAN BENZİNLİK YANI TR-2 35-15-L00143_B_56372465_56372465
7998,TR-12 HÜKÜMET KONAĞI 35-19-M00012_6785513_56372493_56372493
7999,L-309 35-18-L00309_7043867_56372503_56372503
8000,L-97 35-18-L00097_A_56372507_56372507
8001,L-143 35-18-L00143_11998415_56372525_56372525
8002,L-143 35-18-L00143_11328953_56372526_56372526
8003,L-139 35-18-L00139_12292700_56372533_56372533
8004,TR-113 ZEYTİNALANI 35-19-L00113_B_56372540_56372540
8005,M-993 35-03-M00993_B_56372554_56372554
8006,L-139 35-18-L00139_9443195_56372557_56372557
8007,YENİFOÇA TR-18 35-23-M00018_42096481_56372560_56372560
8008,L-306 35-18-L00306_12294058_56372564_56372564
8009,L-306 35-18-L00306_10346453_56372568_56372568
8010,ZEYTİNKÖY KÖK 35-13-L00065_A_56372575_56372575
8011,K-254 35-04-K00254_D_56372579_56372579
8012,K-2495 35-02-K02495_D_56372595_56372595
8013,L-283 35-18-L00283_7598642_56372626_56372626
8014,K-2330 35-04-K02330_C_56372668_56372668
8015,M-919 35-02-M00919_C_56372707_56372707
8016,M-919 35-02-M00919_A_56372708_56372708
8017,K-1772 35-01-K01772_B_56372726_56372726
8018,TR-75 MUSTAFA MERCAN GRB. 35-15-M00075_A_56372736_56372736
8019,GÜNLÜCE TR-4 35-15-L00831_B_56372737_56372737
8020,BİRGİ TR-7 35-15-L00264_48762254_56372778_56372778
8021,M-1531 35-09-M01531_B_56372792_56372792
8022,LOKMANKUYU KÖK 35-15-L00903_48738064_56372795_56372795
8023,M-180 DALYAN ARITMA DM 35-18-M00180__56372851_56372851
8024,M-180 DALYAN ARITMA DM 35-18-M00180__56372852_56372852
8025,L-166 35-18-L00166_11003074_56372862_56372862
8026,K-1186 35-03-K01186_A_56372878_56372878
8027,TR-93 MELTEM SİTESİ 35-19-L00093_6850363_56372892_56372892
8028,M-1036 35-04-M01036_A_56372902_56372902
8029,K-3893 35-01-K03893_A_56372906_56372906
8030,L-425 BELLONA KABİN 35-18-L00425_12294394_56372915_56372915
8031,K-848 35-04-K00848_A_56372922_56372922
8032,L-274 35-18-L00274_6786815_56372961_56372961
8033,M-865 ÇAMİÇİ KÖYÜ 35-02-M00865_C_56372993_56372993
8034,BOZDAĞ TR-8 35-15-L00287_A_56372997_56372997
8035,SEYREKLİ TR-3 35-15-L00442_D_56372999_56372999
8036,GERÇEKLİ TR-4 35-15-L00652_D_56373008_56373008
8037,BOZDAĞ TR-10 35-15-L00294_A_56373016_56373016
8038,BALABANLI FİKRET TEKELİ SULAMA GRB TR-6 35-15-M00335_C_56373023_56373023
8039,ÇAYLI TR-13 35-15-L00198_C_56373024_56373024
8040,BÜYÜK AVULCUK TR-3 35-15-L00700_A_56373032_56373032
8041,ALABAŞ TR-6 35-15-L00511_D_56373034_56373034
8042,KÜSKÜT TR-7 35-15-L00953_C_56373036_56373036
8043,ÇOBANLAR SUBATAN TR-1 35-15-L00358_D_56373042_56373042
8044,ÇOBANLAR SUBATAN TR-1 35-15-L00358_C_56373043_56373043
8045,GERÇEKLİ TR-2 35-15-L00649_B_56373068_56373068
8046,BÜYÜKAVULCUK TR-1 35-15-L00701_A_56373076_56373076
8047,LOKMANKUYU KÖK 35-15-L00903_48738062_56373084_56373084
8048,ÇAMLICA TR-1 35-29-L00480_A_56373091_56373091
8049,BİRGİ TR-23 35-15-L00794_B_56373112_56373112
8050,DM-3 (TR-16) 35-15-M00016_48863976_56373122_56373122
8051,BİRGİ TR-7 35-15-L00264_48762253_56373127_56373127
8052,OVAKENT M.METİN GRB. TR-5 35-15-L00880_A_56373133_56373133
8053,OVAKENT TR-8 35-15-L00588_B_56373139_56373139
8054,TR-84 ORHAN HALLIOĞLU GRB. 35-15-M00084_C_56373145_56373145
8055,TR-84 ORHAN HALLIOĞLU GRB. 35-15-M00084_B_56373146_56373146
8056,YOĞURTÇULAR TR-1 35-26-M00777_8630167_56373164_56373164
8057,K-2380 35-08-K02380_B_56373170_56373170
8058,K-1210 35-01-K01210_B_56373179_56373179
8059,K-1210 35-01-K01210_A_56373180_56373180
8060,K-1210 35-01-K01210_A_56373182_56373182
8061,K-2864 35-01-K02864_A_56373196_56373196
8062,K-1478 35-03-K01478_A_56373203_56373203
8063,K-1478 35-03-K01478_C_56373204_56373204
8064,L-92 35-18-L00092_11055095_56373208_56373208
8065,L-92 35-18-L00092_5841826_56373209_56373209
8066,YENİFOÇA TR-16 35-23-M00016_42097724_56373213_56373213
8067,MUSACALI TR-1 35-24-M00107_A_56373220_56373220
8068,K-1341 35-02-K01341_B_56373224_56373224
8069,K-3591 35-01-K03591_A_56373234_56373234
8070,K-1487 35-03-K01487_F_56373240_56373240
8071,EĞLENHOCA TR-2 35-21-L00119_A_56373243_56373243
8072,DÜNDARLI TR-1 35-24-M00202_A_56373249_56373249
8073,M-2177 35-01-M02177_E_56373252_56373252
8074,TR-104 ZEYTİNALANI 35-19-L00104_C_56373259_56373259
8075,TR-104 ZEYTİNALANI 35-19-L00104_A_56373260_56373260
8076,BADEMLER TR-6 35-19-L00296_D_56373266_56373266
8077,KUŞCULAR TR-3 35-19-M00215_7262052_56373271_56373271
8078,TR-121 ZEYTİNALANI 35-19-L00121_B_56373275_56373275
8079,TR-106 ZEYTİNALANI 35-19-L00106_C_56373286_56373286
8080,GÜLBAHÇE TR-6 35-19-L00166_SC_56373294_56373294
8081,TR-81 35-17-M00081__56373303_56373303
8082,KUŞÇULAR TR-4 (BEYDERESİ) 35-19-M00216_11903039_56373314_56373314
8083,KUŞÇULAR TR-6 35-19-M00218_6745837_56373319_56373319
8084,TR-14 35-17-M00014_11902843_56373330_56373330
8085,TR-109 ZEYTİNALANI 35-19-L00109_8553162_56373338_56373338
8086,K-162 35-01-K00162_A_56373350_56373350
8087,K-598 35-01-K00598_A_56373369_56373369
8088,K-733 35-01-K00733_B_56373386_56373386
8089,HASKÖY TR-3 35-20-L00208_A_56373405_56373405
8090,K-2910 35-01-K02910_E_56373407_56373407
8091,ALANİÇİ TR-1 35-28-M00264_B_56373434_56373434
8092,L-353 İŞTUR 35-18-L00353_12483134_56373444_56373444
8093,YAKACIK TR-2 35-20-L00233_5830925_56373466_56373466
8094,L-49 SAYKOP 35-14-L00049_5838501_56373472_56373472
8095,K-3181 35-01-K03181_E_56373476_56373476
8096,K-1621 35-02-K01621_C_56373488_56373488
8097,K-1621 35-02-K01621_B_56373489_56373489
8098,BURUNCUK TR-1 35-28-M00331_D_56373496_56373496
8099,K-335 35-03-K00335_D_56373529_56373529
8100,K-1867 35-09-K01867_E_56373572_56373572
8101,K-1708 35-01-K01708_A_56373610_56373610
8102,K-3591 35-01-K03591_C_56373614_56373614
8103,ARDIÇ MAHALLESİ TR-17 35-21-L00128_B_56373619_56373619
8104,YENİFOÇA TR-3 35-23-M00003_B_56373627_56373627
8105,ASARLIK TR-10 35-28-M00593_B_56373628_56373628
8106,İNECİK TR-1 35-21-L00121_B_56373640_56373640
8107,K-1708 35-01-K01708_C_56373641_56373641
8108,K-1708 35-01-K01708_D_56373644_56373644
8109,K-1708 35-01-K01708_B_56373645_56373645
8110,K-1685 35-01-K01685_E_56373646_56373646
8111,SAİPALTI TR-1 35-21-L00101_E_56373652_56373652
8112,M-235 KAVAKDERE CEVİZALTI 35-14-M00235_A_56373680_56373680
8113,ORTA MAHALLE  M-6 35-25-M00119_D_56373683_56373683
8114,K-844 35-01-K00844_C_56373704_56373704
8115,YAKAPINAR TR-4 35-20-L00154_9258778_56373729_56373729
8116,M-1538 35-01-M01538_E_56373745_56373745
8117,ALANKÖY TR-1 35-20-L00288_A_56373789_56373789
8118,YUSUFLU TR-1 35-20-L00227_8908869_56373798_56373798
8119,BURUNCUK TR-1 35-28-M00331_C_56373801_56373801
8120,K-316 35-01-K00316_A_56373825_56373825
8121,K-3137 35-01-K03137_B_56373827_56373827
8122,K-3137 35-01-K03137_C_56373828_56373828
8123,KOYUNDERE TR-3 35-28-M00124_7000544_56373832_56373832
8124,YUSUFLU TR-3 35-20-L00237_10502380_56373837_56373837
8125,M-1932 35-09-M01932_A_56373841_56373841
8126,M-1932 35-09-M01932_B_56373843_56373843
8127,HÜSEYİN DAĞLI SULAMA GRUBU 35-29-M00292_B_56373864_56373864
8128,HÜSEYİN DAĞLI SULAMA GRUBU 35-29-M00292_A_56373865_56373865
8129,YAKAPINAR TR-3 35-20-L00153_10264005_56373887_56373887
8130,YAKACIK TR-2 35-20-L00233_6806377_56373890_56373890
8131,M-2356 35-01-M02356_B_56373896_56373896
8132,YEŞİLOVA ÇAYIR TR-5 35-20-L00130_10766604_56373899_56373899
8133,YEŞİLOVA ÇAYIR TR-5 35-20-L00130_11562277_56373900_56373900
8134,YUSUFLU TR-6 35-20-L00359_10501236_56373904_56373904
8135,M-2745 35-01-M02745_A_56373909_56373909
8136,K-4412 35-01-K04412_E_56373914_56373914
8137,K-4412 35-01-K04412_B_56373915_56373915
8138,K-1303 35-08-K01303_D_56373932_56373932
8139,K-662 35-01-K00662_E_56373969_56373969
8140,BEYKÖY TR-1 35-28-M00258_C_56373977_56373977
8141,M-1826 35-02-M01826_F_56373982_56373982
8142,M-1826 35-02-M01826_E_56373983_56373983
8143,ASARLIK TR-26 35-28-M00725_A_56374001_56374001
8144,K-718 35-01-K00718_E_56374008_56374008
8145,M-2177 35-01-M02177_C_56374010_56374010
8146,M-2177 35-01-M02177_A_56374011_56374011
8147,K-742 35-01-K00742_D_56374014_56374014
8148,TR-10 BABACAN 35-19-L00010_8912785_56374025_56374025
8149,K-1924 35-10-K01924_C_56374059_56374059
8150,K-4019 35-02-K04019_B_56374083_56374083
8151,K-1642 35-03-K01642_F_56374091_56374091
8152,M-2902 35-02-M02902_C_56374113_56374113
8153,K-2846 35-07-K02846_B_56374115_56374115
8154,K-1854 35-07-K01854_A_56374124_56374124
8155,SARIYURT TR-1 35-20-L00259_10383615_56374143_56374143
8156,K-1338 35-03-K01338_C_56374148_56374148
8157,ASARLIK TR-8 35-28-M00182_10902933_56374160_56374160
8158,ASARLIK TR-8 35-28-M00182_7331411_56374161_56374161
8159,L-217 35-18-L00217_11387643_56374197_56374197
8160,K-879 35-01-K00879_C_56374203_56374203
8161,K-231 35-01-K00231_A_56374215_56374215
8162,K-418 35-03-K00418_F_56374239_56374239
8163,ŞEYHDAVUTLAR TR-5 NAMAZGAH 45-79-M00496_D_56374246_56374246
8164,M-32 35-02-M00032_C_56374254_56374254
8165,M-32 35-02-M00032_C_56374255_56374255
8166,YAKACIK TR-3 35-20-L00240_10383109_56374260_56374260
8167,M-1885 35-02-M01885_A_56374271_56374271
8168,K-1189 35-02-K01189_C_56374323_56374323
8169,L-210 35-18-L00210_10029409_56374350_56374350
8170,POYRACIK TR-2 35-24-L00025_C_56374355_56374355
8171,K-4532 35-01-K04532_B_56374371_56374371
8172,ORTA MAHALLE  M-6 35-25-M00119_B_56374375_56374375
8173,ORTA MAHALLE  M-6 35-25-M00119_C_56374376_56374376
8174,M-2382 35-02-M02382_H_56374386_56374386
8175,M-2382 35-02-M02382_A_56374389_56374389
8176,M-1918 35-10-M01918_B_56374405_56374405
8177,K-1001 35-03-K01001_C_56374410_56374410
8178,K-2357 35-10-K02357_A_56374426_56374426
8179,K-3373 35-10-K03373_B_56374465_56374465
8180,K-3373 35-10-K03373_A_56374466_56374466
8181,EĞLENHOCA TR-2 35-21-L00119_B_56374482_56374482
8182,K-1536 35-01-K01536_A_56374485_56374485
8183,PAYAMLI TR-1 35-10-L00056_A_56374495_56374495
8184,PAYAMLI TR-1 35-10-L00056_B_56374496_56374496
8185,K-4042 35-02-K04042_G_56374499_56374499
8186,M-3078(YATIRIM REZERVE) 35-02-M03078_B_56374523_56374523
8187,L-353 İŞTUR 35-18-L00353_7523958_56374525_56374525
8188,K-4042 35-02-K04042_B_56374548_56374548
8189,K-2437 35-01-K02437_A_56374550_56374550
8190,K-325 35-01-K00325_C_56374583_56374583
8191,HASKÖY TR-4 35-20-L00369_B_56374598_56374598
8192,M-2913 (YATIRIM REZERVE) 35-01-M02913_A_56374604_56374604
8193,M-2913 (YATIRIM REZERVE) 35-01-M02913_C_56374607_56374607
8194,M-1060 35-02-M01060_A_56374611_56374611
8195,K-440 35-01-K00440_D_56374614_56374614
8196,K-4410 35-01-K04410_B_56374618_56374618
8197,K-4410 35-01-K04410_D_56374619_56374619
8198,K-2980 35-01-K02980_B_56374630_56374630
8199,YUSUFLU TR-5 35-20-L00236_9797022_56374637_56374637
8200,TR-15 35-32-L00015_D_56374644_56374644
8201,ASARLIK TR-9 35-28-M00590_11740356_56374645_56374645
8202,YENİ ŞAKRAN TR-6 35-17-M00206__56374655_56374655
8203,L-367 ERBAY SİTESİ 35-18-L00367_6148102_56374658_56374658
8204,TR-112 KAVAKDERE 35-14-M00112_D_56374668_56374668
8205,BAHÇECİK TR-1 35-22-M00264_A_56374674_56374674
8206,BAHÇECİK TR-1 35-22-M00264_B_56374677_56374677
8207,L-117 OVACIK 35-18-L00117_B_56374681_56374681
8208,M-17 UŞAKLILAR SİTESİ 35-18-M00017_12485695_56374688_56374688
8209,KINIK TR 19 35-24-L00019_B_56374696_56374696
8210,M-1828 35-01-M01828_B_56374740_56374740
8211,M-1201 35-10-M01201_C_56374757_56374757
8212,M-1871 35-01-M01871_D_56374759_56374759
8213,K-936 35-02-K00936_F_56374770_56374770
8214,M-1573 35-01-M01573_B_56374787_56374787
8215,K-3163 35-10-K03163_B_56374792_56374792
8216,K-997 35-07-K00997_B_56374798_56374798
8217,ÇATALKAYA TR-4 35-21-L00194_49808064_56374819_56374819
8218,K-1477 35-03-K01477_B_56374832_56374832
8219,TR-1-5/4 35-20-L00062_11051385_56374846_56374846
8220,ZEYTİNLİK TR-33 35-15-L00905_D_56374850_56374850
8221,K-1468 35-03-K01468_A_56374861_56374861
8222,K-1468 35-03-K01468_F_56374865_56374865
8223,K-122 35-01-K00122_C_56374869_56374869
8224,L-245 35-18-L00245_C_56374873_56374873
8225,MORDOĞAN TR-5 35-21-L00146_A_56374876_56374876
8226,SASKO SİTESİ TR-2 35-21-L00212_10028804_56374880_56374880
8227,K-1711 35-02-K01711_B_56374883_56374883
8228,K-1711 35-02-K01711_D_56374884_56374884
8229,K-1711 35-02-K01711_C_56374885_56374885
8230,L-208 35-18-L00208_7887548_56374897_56374897
8231,L-208 35-18-L00208_5834105_56374899_56374899
8232,L-39 35-14-L00039_7259663_56374902_56374902
8233,K-3129 35-01-K03129_D_56374907_56374907
8234,K-123 35-01-K00123_B_56374946_56374946
8235,K-570 35-01-K00570_F_56374977_56374977
8236,K-570 35-01-K00570_A_56374978_56374978
8237,M-2896(YATIRIM REZERVE) 35-01-M02896_B_56374988_56374988
8238,K-1625 35-07-K01625_B_56374995_56374995
8239,K-2377 35-08-K02377_C_56374997_56374997
8240,ŞAŞAL TR-1 35-22-M00283_A_56375001_56375001
8241,L-117 OVACIK 35-18-L00117_C_56375015_56375015
8242,YENİ FOÇA TR-25 35-23-M00025_42098007_56375022_56375022
8243,YENİFOÇA TR-51 35-23-M00051_42097959_56375036_56375036
8244,YENİFOÇA TR-51 35-23-M00051_B_56375040_56375040
8245,MORDOĞAN TR-34 35-21-L00148_A_56375044_56375044
8246,K-767 35-01-K00767_E_56375049_56375049
8247,L-366 ILDIR KÖY 35-18-L00366_6373642_56375055_56375055
8248,DM-3/19 35-19-M00019_7424602_56375067_56375067
8249,K-2979 35-02-K02979_B_56375083_56375083
8250,K-2974 35-02-K02974_D_56375104_56375104
8251,GÜLKENT TR-5 35-30-M00228_A_56375106_56375106
8252,L-401 ALTINYUNUS DM 35-18-L00401_5835708_56375110_56375110
